Facility,Drug,Month,Consumption,End_Stock,Stock_Out
Tiko District Hospital,Salbutamol,2023-07-31,498,1270,0
Tiko District Hospital,Salbutamol,2023-08-31,525,772,0
Tiko District Hospital,Salbutamol,2023-09-30,499,248,0
Tiko District Hospital,Salbutamol,2023-10-31,597,0,1
Tiko District Hospital,Salbutamol,2023-11-30,462,0,1
Tiko District Hospital,Salbutamol,2023-12-31,516,0,1
Tiko District Hospital,Salbutamol,2024-01-31,375,691,0
Tiko District Hospital,Salbutamol,2024-02-29,432,617,0
Tiko District Hospital,Salbutamol,2024-03-31,518,185,0
Tiko District Hospital,Salbutamol,2024-04-30,530,0,1
Tiko District Hospital,Salbutamol,2024-05-31,439,775,0
Tiko District Hospital,Salbutamol,2024-06-30,457,336,0
Tiko District Hospital,Salbutamol,2024-07-31,341,0,1
Tiko District Hospital,Salbutamol,2024-08-31,434,595,0
Tiko District Hospital,Salbutamol,2024-09-30,534,161,0
Tiko District Hospital,Salbutamol,2024-10-31,509,0,1
Tiko District Hospital,Salbutamol,2024-11-30,503,0,1
Tiko District Hospital,Salbutamol,2024-12-31,467,347,0
Tiko District Hospital,Ceftriaxone,2023-01-31,302,2692,0
Tiko District Hospital,Ceftriaxone,2023-02-28,270,2390,0
Tiko District Hospital,Ceftriaxone,2023-03-31,277,1337,0
Tiko District Hospital,Ceftriaxone,2023-04-30,214,1060,0
Tiko District Hospital,Ceftriaxone,2023-05-31,256,846,0
Tiko District Hospital,Ceftriaxone,2023-06-30,200,590,0
Tiko District Hospital,Ceftriaxone,2023-07-31,346,390,0
Tiko District Hospital,Ceftriaxone,2023-08-31,357,1182,0
Tiko District Hospital,Ceftriaxone,2023-09-30,127,825,0
Tiko District Hospital,Ceftriaxone,2023-10-31,200,698,0
Tiko District Hospital,Ceftriaxone,2023-11-30,155,498,0
Tiko District Hospital,Ceftriaxone,2023-12-31,222,344,0
Tiko District Hospital,Ceftriaxone,2024-01-31,268,121,0
Tiko District Hospital,Ceftriaxone,2024-02-29,158,983,0
Tiko District Hospital,Ceftriaxone,2024-03-31,201,824,0
Tiko District Hospital,Ceftriaxone,2024-04-30,194,624,0
Tiko District Hospital,Ceftriaxone,2024-05-31,291,430,0
Tiko District Hospital,Ceftriaxone,2024-06-30,280,552,0
Tiko District Hospital,Ceftriaxone,2024-07-31,217,273,0
Tiko District Hospital,Ceftriaxone,2024-08-31,288,1261,0
Tiko District Hospital,Ceftriaxone,2024-09-30,231,973,0
Tiko District Hospital,Ceftriaxone,2024-10-31,253,742,0
Tiko District Hospital,Ceftriaxone,2024-11-30,408,1246,0
Tiko District Hospital,Ceftriaxone,2024-12-31,382,838,0
Buea Regional Hospital,Amoxicillin,2023-01-31,310,1661,0
Buea Regional Hospital,Amoxicillin,2023-02-28,217,1350,0
Buea Regional Hospital,Amoxicillin,2023-03-31,485,1133,0
Buea Regional Hospital,Amoxicillin,2023-04-30,456,648,0
Buea Regional Hospital,Amoxicillin,2023-05-31,242,1126,0
Buea Regional Hospital,Amoxicillin,2023-06-30,400,884,0
Buea Regional Hospital,Amoxicillin,2023-07-31,305,484,0
Buea Regional Hospital,Amoxicillin,2023-08-31,366,1111,0
Buea Regional Hospital,Amoxicillin,2023-09-30,369,744,0
Buea Regional Hospital,Amoxicillin,2023-10-31,327,375,0
Buea Regional Hospital,Amoxicillin,2023-11-30,283,49,1
Buea Regional Hospital,Amoxicillin,2023-12-31,290,1001,0
Buea Regional Hospital,Amoxicillin,2024-01-31,272,711,0
Buea Regional Hospital,Amoxicillin,2024-02-29,279,439,0
Buea Regional Hospital,Amoxicillin,2024-03-31,340,160,0
Buea Regional Hospital,Amoxicillin,2024-04-30,288,107,0
Buea Regional Hospital,Amoxicillin,2024-05-31,400,0,1
Buea Regional Hospital,Amoxicillin,2024-06-30,464,0,1
Buea Regional Hospital,Amoxicillin,2024-07-31,299,0,1
Buea Regional Hospital,Amoxicillin,2024-08-31,364,0,1
Buea Regional Hospital,Amoxicillin,2024-09-30,385,380,0
Buea Regional Hospital,Amoxicillin,2024-10-31,383,0,1
Buea Regional Hospital,Amoxicillin,2024-11-30,351,0,1
Buea Regional Hospital,Amoxicillin,2024-12-31,405,509,0
Buea Regional Hospital,ACTs,2023-01-31,297,2749,0
Buea Regional Hospital,ACTs,2023-02-28,157,2452,0
Buea Regional Hospital,ACTs,2023-03-31,118,2295,0
Buea Regional Hospital,ACTs,2023-04-30,332,2178,0
Buea Regional Hospital,ACTs,2023-05-31,373,1846,0
Buea Regional Hospital,ACTs,2023-06-30,252,1472,0
Buea Regional Hospital,ACTs,2023-07-31,236,561,0
Buea Regional Hospital,ACTs,2023-08-31,370,325,0
Buea Regional Hospital,ACTs,2023-09-30,198,630,0
Buea Regional Hospital,ACTs,2023-10-31,180,49,1
Buea Regional Hospital,ACTs,2023-11-30,346,0,1
Buea Regional Hospital,ACTs,2023-12-31,290,721,0
Buea Regional Hospital,ACTs,2024-01-31,375,431,0
Buea Regional Hospital,ACTs,2024-02-29,118,1008,0
Buea Regional Hospital,ACTs,2024-03-31,177,890,0
Buea Regional Hospital,ACTs,2024-04-30,291,713,0
Buea Regional Hospital,ACTs,2024-05-31,323,422,0
Buea Regional Hospital,ACTs,2024-06-30,357,100,0
Buea Regional Hospital,ACTs,2024-07-31,303,0,1
Buea Regional Hospital,ACTs,2024-08-31,303,0,1
Buea Regional Hospital,ACTs,2024-09-30,258,748,0
Buea Regional Hospital,ACTs,2024-10-31,417,489,0
Buea Regional Hospital,ACTs,2024-11-30,201,73,0
Buea Regional Hospital,ACTs,2024-12-31,318,1016,0
Buea Regional Hospital,Paracetamol,2023-01-31,131,3166,0
Buea Regional Hospital,Paracetamol,2023-02-28,170,3035,0
Buea Regional Hospital,Paracetamol,2023-03-31,123,2865,0
Buea Regional Hospital,Paracetamol,2023-04-30,255,2248,0
Buea Regional Hospital,Paracetamol,2023-05-31,271,1993,0
Buea Regional Hospital,Paracetamol,2023-06-30,184,1722,0
Buea Regional Hospital,Paracetamol,2023-07-31,206,1538,0
Buea Regional Hospital,Paracetamol,2023-08-31,87,594,0
Buea Regional Hospital,Paracetamol,2023-09-30,179,507,0
Buea Regional Hospital,Paracetamol,2023-10-31,199,328,0
Buea Regional Hospital,Paracetamol,2023-11-30,412,1313,0
Buea Regional Hospital,Paracetamol,2023-12-31,114,413,0
Buea Regional Hospital,Paracetamol,2024-01-31,320,299,0
Buea Regional Hospital,Paracetamol,2024-02-29,282,0,1
Buea Regional Hospital,Paracetamol,2024-03-31,225,633,0
Buea Regional Hospital,Paracetamol,2024-04-30,343,408,0
Buea Regional Hospital,Paracetamol,2024-05-31,233,0,1
Buea Regional Hospital,Paracetamol,2024-06-30,234,0,1
Buea Regional Hospital,Paracetamol,2024-07-31,198,562,0
Buea Regional Hospital,Paracetamol,2024-08-31,301,364,0
Buea Regional Hospital,Paracetamol,2024-09-30,290,1387,0
Buea Regional Hospital,Paracetamol,2024-10-31,153,1096,0
Buea Regional Hospital,Paracetamol,2024-11-30,97,944,0
Buea Regional Hospital,Paracetamol,2024-12-31,187,163,0
Buea Regional Hospital,ORS,2023-01-31,562,1755,0
Buea Regional Hospital,ORS,2023-02-28,552,1193,0
Buea Regional Hospital,ORS,2023-03-31,410,642,0
Buea Regional Hospital,ORS,2023-04-30,506,231,0
Buea Regional Hospital,ORS,2023-05-31,588,951,0
Buea Regional Hospital,ORS,2023-06-30,624,364,0
Buea Regional Hospital,ORS,2023-07-31,444,0,1
Buea Regional Hospital,ORS,2023-08-31,544,779,0
Buea Regional Hospital,ORS,2023-09-30,514,235,0
Buea Regional Hospital,ORS,2023-10-31,492,563,0
Buea Regional Hospital,ORS,2023-11-30,530,71,0
Buea Regional Hospital,ORS,2023-12-31,519,0,1
Buea Regional Hospital,ORS,2024-01-31,545,0,1
Buea Regional Hospital,ORS,2024-02-29,617,0,1
Buea Regional Hospital,ORS,2024-03-31,565,62,0
Buea Regional Hospital,ORS,2024-04-30,527,0,1
Buea Regional Hospital,ORS,2024-05-31,651,307,0
Buea Regional Hospital,ORS,2024-06-30,591,18,1
Buea Regional Hospital,ORS,2024-07-31,494,202,0
Buea Regional Hospital,ORS,2024-08-31,405,1118,0
Buea Regional Hospital,ORS,2024-09-30,423,714,0
Buea Regional Hospital,ORS,2024-10-31,577,291,0
Buea Regional Hospital,ORS,2024-11-30,451,0,1
Buea Regional Hospital,ORS,2024-12-31,421,0,1
Buea Regional Hospital,Metformin,2023-01-31,358,1726,0
Buea Regional Hospital,Metformin,2023-02-28,346,1369,0
Buea Regional Hospital,Metformin,2023-03-31,216,1023,0
Buea Regional Hospital,Metformin,2023-04-30,277,807,0
Buea Regional Hospital,Metformin,2023-05-31,294,530,0
Buea Regional Hospital,Metformin,2023-06-30,286,1732,0
Buea Regional Hospital,Metformin,2023-07-31,324,1446,0
Buea Regional Hospital,Metformin,2023-08-31,411,1122,0
Buea Regional Hospital,Metformin,2023-09-30,384,711,0
Buea Regional Hospital,Metformin,2023-10-31,192,327,0
Buea Regional Hospital,Metformin,2023-11-30,347,1144,0
Buea Regional Hospital,Metformin,2023-12-31,403,798,0
Buea Regional Hospital,Metformin,2024-01-31,328,394,0
Buea Regional Hospital,Metformin,2024-02-29,384,66,0
Buea Regional Hospital,Metformin,2024-03-31,458,0,1
Buea Regional Hospital,Metformin,2024-04-30,379,0,1
Buea Regional Hospital,Metformin,2024-05-31,317,362,0
Buea Regional Hospital,Metformin,2024-06-30,381,45,1
Buea Regional Hospital,Metformin,2024-07-31,309,0,1
Buea Regional Hospital,Metformin,2024-08-31,299,0,1
Buea Regional Hospital,Metformin,2024-09-30,269,318,0
Buea Regional Hospital,Metformin,2024-10-31,422,49,1
Buea Regional Hospital,Metformin,2024-11-30,232,0,1
Buea Regional Hospital,Metformin,2024-12-31,420,0,1
Buea Regional Hospital,Atenolol,2023-01-31,189,3149,0
Buea Regional Hospital,Atenolol,2023-02-28,367,2493,0
Buea Regional Hospital,Atenolol,2023-03-31,410,1337,0
Buea Regional Hospital,Atenolol,2023-04-30,299,927,0
Buea Regional Hospital,Atenolol,2023-05-31,422,628,0
Buea Regional Hospital,Atenolol,2023-06-30,375,1153,0
Buea Regional Hospital,Atenolol,2023-07-31,532,373,0
Buea Regional Hospital,Atenolol,2023-08-31,517,0,1
Buea Regional Hospital,Atenolol,2023-09-30,354,234,0
Buea Regional Hospital,Atenolol,2023-10-31,379,0,1
Buea Regional Hospital,Atenolol,2023-11-30,385,0,1
Buea Regional Hospital,Atenolol,2023-12-31,355,933,0
Buea Regional Hospital,Atenolol,2024-01-31,407,578,0
Buea Regional Hospital,Atenolol,2024-02-29,331,888,0
Buea Regional Hospital,Atenolol,2024-03-31,301,558,0
Buea Regional Hospital,Atenolol,2024-04-30,441,257,0
Buea Regional Hospital,Atenolol,2024-05-31,442,0,1
Buea Regional Hospital,Atenolol,2024-06-30,327,937,0
Buea Regional Hospital,Atenolol,2024-07-31,463,610,0
Buea Regional Hospital,Atenolol,2024-08-31,341,712,0
Buea Regional Hospital,Atenolol,2024-09-30,411,371,0
Buea Regional Hospital,Atenolol,2024-10-31,457,0,1
Buea Regional Hospital,Atenolol,2024-11-30,388,705,0
Buea Regional Hospital,Atenolol,2024-12-31,428,316,0
Buea Regional Hospital,Salbutamol,2023-01-31,363,2136,0
Buea Regional Hospital,Salbutamol,2023-02-28,303,1773,0
Buea Regional Hospital,Salbutamol,2023-03-31,443,1470,0
Buea Regional Hospital,Salbutamol,2023-04-30,326,1027,0
Buea Regional Hospital,Salbutamol,2023-05-31,360,701,0
Buea Regional Hospital,Salbutamol,2023-06-30,319,341,0
Buea Regional Hospital,Salbutamol,2023-07-31,509,1133,0
Buea Regional Hospital,Salbutamol,2023-08-31,344,625,0
Buea Regional Hospital,Salbutamol,2023-09-30,516,281,0
Buea Regional Hospital,Salbutamol,2023-10-31,435,0,1
Buea Regional Hospital,Salbutamol,2023-11-30,408,0,1
Buea Regional Hospital,Salbutamol,2023-12-31,399,0,1
Buea Regional Hospital,Salbutamol,2024-01-31,401,398,0
Buea Regional Hospital,Salbutamol,2024-02-29,215,0,1
Buea Regional Hospital,Salbutamol,2024-03-31,347,0,1
Buea Regional Hospital,Salbutamol,2024-04-30,437,0,1
Buea Regional Hospital,Salbutamol,2024-05-31,366,0,1
Buea Regional Hospital,Salbutamol,2024-06-30,257,0,1
Buea Regional Hospital,Salbutamol,2024-07-31,365,0,1
Buea Regional Hospital,Salbutamol,2024-08-31,506,840,0
Buea Regional Hospital,Salbutamol,2024-09-30,469,334,0
Buea Regional Hospital,Salbutamol,2024-10-31,365,0,1
Buea Regional Hospital,Salbutamol,2024-11-30,446,236,0
Buea Regional Hospital,Salbutamol,2024-12-31,340,0,1
Buea Regional Hospital,Ceftriaxone,2023-01-31,381,2373,0
Buea Regional Hospital,Ceftriaxone,2023-02-28,469,1991,0
Buea Regional Hospital,Ceftriaxone,2023-03-31,265,1205,0
Buea Regional Hospital,Ceftriaxone,2023-04-30,386,940,0
Buea Regional Hospital,Ceftriaxone,2023-05-31,430,554,0
Buea Regional Hospital,Ceftriaxone,2023-06-30,360,747,0
Buea Regional Hospital,Ceftriaxone,2023-07-31,357,387,0
Buea Regional Hospital,Ceftriaxone,2023-08-31,379,1282,0
Buea Regional Hospital,Ceftriaxone,2023-09-30,456,903,0
Buea Regional Hospital,Ceftriaxone,2023-10-31,417,447,0
Buea Regional Hospital,Ceftriaxone,2023-11-30,253,972,0
Buea Regional Hospital,Ceftriaxone,2023-12-31,263,719,0
Buea Regional Hospital,Ceftriaxone,2024-01-31,384,456,0
Buea Regional Hospital,Ceftriaxone,2024-02-29,469,1368,0
Buea Regional Hospital,Ceftriaxone,2024-03-31,212,899,0
Buea Regional Hospital,Ceftriaxone,2024-04-30,392,686,0
Buea Regional Hospital,Ceftriaxone,2024-05-31,390,294,0
Buea Regional Hospital,Ceftriaxone,2024-06-30,543,521,0
Buea Regional Hospital,Ceftriaxone,2024-07-31,401,0,1
Buea Regional Hospital,Ceftriaxone,2024-08-31,463,509,0
Buea Regional Hospital,Ceftriaxone,2024-09-30,444,0,1
Buea Regional Hospital,Ceftriaxone,2024-10-31,262,707,0
Buea Regional Hospital,Ceftriaxone,2024-11-30,494,445,0
Buea Regional Hospital,Ceftriaxone,2024-12-31,450,0,1
Limbe District Hospital,Amoxicillin,2023-01-31,603,2529,0
Limbe District Hospital,Amoxicillin,2023-02-28,619,1926,0
Limbe District Hospital,Amoxicillin,2023-03-31,499,1308,0
Limbe District Hospital,Amoxicillin,2023-04-30,498,808,0
Limbe District Hospital,Amoxicillin,2023-05-31,656,1204,0
Limbe District Hospital,Amoxicillin,2023-06-30,659,549,0
Limbe District Hospital,Amoxicillin,2023-07-31,489,0,1
Limbe District Hospital,Amoxicillin,2023-08-31,474,0,1
Limbe District Hospital,Amoxicillin,2023-09-30,568,0,1
Limbe District Hospital,Amoxicillin,2023-10-31,512,199,0
Limbe District Hospital,Amoxicillin,2023-11-30,511,0,1
Limbe District Hospital,Amoxicillin,2023-12-31,476,751,0
Limbe District Hospital,Amoxicillin,2024-01-31,539,1318,0
Limbe District Hospital,Amoxicillin,2024-02-29,484,780,0
Limbe District Hospital,Amoxicillin,2024-03-31,489,296,0
Limbe District Hospital,Amoxicillin,2024-04-30,600,899,0
Limbe District Hospital,Amoxicillin,2024-05-31,572,1559,0
Limbe District Hospital,Amoxicillin,2024-06-30,615,987,0
Limbe District Hospital,Amoxicillin,2024-07-31,444,372,0
Limbe District Hospital,Amoxicillin,2024-08-31,577,0,1
Limbe District Hospital,Amoxicillin,2024-09-30,742,0,1
Limbe District Hospital,Amoxicillin,2024-10-31,546,0,1
Limbe District Hospital,Amoxicillin,2024-11-30,642,0,1
Limbe District Hospital,Amoxicillin,2024-12-31,642,0,1
Limbe District Hospital,ACTs,2023-01-31,480,3053,0
Limbe District Hospital,ACTs,2023-02-28,407,2573,0
Limbe District Hospital,ACTs,2023-03-31,365,2166,0
Limbe District Hospital,ACTs,2023-04-30,342,1268,0
Limbe District Hospital,ACTs,2023-05-31,283,926,0
Limbe District Hospital,ACTs,2023-06-30,365,644,0
Limbe District Hospital,ACTs,2023-07-31,379,279,0
Limbe District Hospital,ACTs,2023-08-31,259,0,1
Limbe District Hospital,ACTs,2023-09-30,386,0,1
Limbe District Hospital,ACTs,2023-10-31,346,0,1
Limbe District Hospital,ACTs,2023-11-30,206,0,1
Limbe District Hospital,ACTs,2023-12-31,290,0,1
Limbe District Hospital,ACTs,2024-01-31,326,0,1
Limbe District Hospital,ACTs,2024-02-29,510,0,1
Limbe District Hospital,ACTs,2024-03-31,403,0,1
Limbe District Hospital,ACTs,2024-04-30,252,573,0
Limbe District Hospital,ACTs,2024-05-31,398,321,0
Limbe District Hospital,ACTs,2024-06-30,235,0,1
Limbe District Hospital,ACTs,2024-07-31,445,684,0
Limbe District Hospital,ACTs,2024-08-31,321,239,0
Limbe District Hospital,ACTs,2024-09-30,351,0,1
Limbe District Hospital,ACTs,2024-10-31,465,0,1
Limbe District Hospital,ACTs,2024-11-30,256,455,0
Limbe District Hospital,ACTs,2024-12-31,247,199,0
Limbe District Hospital,Paracetamol,2023-01-31,433,3143,0
Limbe District Hospital,Paracetamol,2023-02-28,392,2710,0
Limbe District Hospital,Paracetamol,2023-03-31,416,2318,0
Limbe District Hospital,Paracetamol,2023-04-30,418,1902,0
Limbe District Hospital,Paracetamol,2023-05-31,350,1484,0
Limbe District Hospital,Paracetamol,2023-06-30,423,1134,0
Limbe District Hospital,Paracetamol,2023-07-31,458,711,0
Limbe District Hospital,Paracetamol,2023-08-31,528,1368,0
Limbe District Hospital,Paracetamol,2023-09-30,447,840,0
Limbe District Hospital,Paracetamol,2023-10-31,320,1438,0
Limbe District Hospital,Paracetamol,2023-11-30,474,1118,0
Limbe District Hospital,Paracetamol,2023-12-31,426,643,0
Limbe District Hospital,Paracetamol,2024-01-31,556,1421,0
Limbe District Hospital,Paracetamol,2024-02-29,561,866,0
Limbe District Hospital,Paracetamol,2024-03-31,563,305,0
Limbe District Hospital,Paracetamol,2024-04-30,401,0,1
Limbe District Hospital,Paracetamol,2024-05-31,605,0,1
Limbe District Hospital,Paracetamol,2024-06-30,474,0,1
Limbe District Hospital,Paracetamol,2024-07-31,576,970,0
Limbe District Hospital,Paracetamol,2024-08-31,406,394,0
Limbe District Hospital,Paracetamol,2024-09-30,422,865,0
Limbe District Hospital,Paracetamol,2024-10-31,468,442,0
Limbe District Hospital,Paracetamol,2024-11-30,458,728,0
Limbe District Hospital,Paracetamol,2024-12-31,547,270,0
Limbe District Hospital,ORS,2023-01-31,539,2062,0
Limbe District Hospital,ORS,2023-02-28,494,1523,0
Limbe District Hospital,ORS,2023-03-31,638,517,0
Limbe District Hospital,ORS,2023-04-30,687,0,1
Limbe District Hospital,ORS,2023-05-31,515,649,0
Limbe District Hospital,ORS,2023-06-30,505,1139,0
Limbe District Hospital,ORS,2023-07-31,593,634,0
Limbe District Hospital,ORS,2023-08-31,525,830,0
Limbe District Hospital,ORS,2023-09-30,543,305,0
Limbe District Hospital,ORS,2023-10-31,613,0,1
Limbe District Hospital,ORS,2023-11-30,401,0,1
Limbe District Hospital,ORS,2023-12-31,660,713,0
Limbe District Hospital,ORS,2024-01-31,560,54,0
Limbe District Hospital,ORS,2024-02-29,521,335,0
Limbe District Hospital,ORS,2024-03-31,547,0,1
Limbe District Hospital,ORS,2024-04-30,551,84,0
Limbe District Hospital,ORS,2024-05-31,416,0,1
Limbe District Hospital,ORS,2024-06-30,674,0,1
Limbe District Hospital,ORS,2024-07-31,557,0,1
Limbe District Hospital,ORS,2024-08-31,590,250,0
Limbe District Hospital,ORS,2024-09-30,630,865,0
Limbe District Hospital,ORS,2024-10-31,472,235,0
Limbe District Hospital,ORS,2024-11-30,592,0,1
Limbe District Hospital,ORS,2024-12-31,533,0,1
Limbe District Hospital,Metformin,2023-01-31,216,1946,0
Limbe District Hospital,Metformin,2023-02-28,384,1729,0
Limbe District Hospital,Metformin,2023-03-31,384,1346,0
Limbe District Hospital,Metformin,2023-04-30,459,962,0
Limbe District Hospital,Metformin,2023-05-31,279,504,0
Limbe District Hospital,Metformin,2023-06-30,369,224,0
Limbe District Hospital,Metformin,2023-07-31,495,0,1
Limbe District Hospital,Metformin,2023-08-31,263,0,1
Limbe District Hospital,Metformin,2023-09-30,189,0,1
Limbe District Hospital,Metformin,2023-10-31,162,465,0
Limbe District Hospital,Metformin,2023-11-30,369,303,0
Limbe District Hospital,Metformin,2023-12-31,162,0,1
Limbe District Hospital,Metformin,2024-01-31,282,202,0
Limbe District Hospital,Metformin,2024-02-29,347,938,0
Limbe District Hospital,Metformin,2024-03-31,327,875,0
Limbe District Hospital,Metformin,2024-04-30,346,548,0
Limbe District Hospital,Metformin,2024-05-31,330,202,0
Limbe District Hospital,Metformin,2024-06-30,415,1070,0
Limbe District Hospital,Metformin,2024-07-31,236,655,0
Limbe District Hospital,Metformin,2024-08-31,258,0,1
Limbe District Hospital,Metformin,2024-09-30,250,0,1
Limbe District Hospital,Metformin,2024-10-31,379,0,1
Limbe District Hospital,Metformin,2024-11-30,384,0,1
Limbe District Hospital,Metformin,2024-12-31,348,859,0
Limbe District Hospital,Atenolol,2023-01-31,434,1230,0
Limbe District Hospital,Atenolol,2023-02-28,302,796,0
Limbe District Hospital,Atenolol,2023-03-31,291,494,0
Limbe District Hospital,Atenolol,2023-04-30,294,203,0
Limbe District Hospital,Atenolol,2023-05-31,377,1003,0
Limbe District Hospital,Atenolol,2023-06-30,375,626,0
Limbe District Hospital,Atenolol,2023-07-31,273,251,0
Limbe District Hospital,Atenolol,2023-08-31,302,862,0
Limbe District Hospital,Atenolol,2023-09-30,334,171,0
Limbe District Hospital,Atenolol,2023-10-31,191,0,1
Limbe District Hospital,Atenolol,2023-11-30,379,0,1
Limbe District Hospital,Atenolol,2023-12-31,421,0,1
Limbe District Hospital,Atenolol,2024-01-31,375,542,0
Limbe District Hospital,Atenolol,2024-02-29,182,166,0
Limbe District Hospital,Atenolol,2024-03-31,124,1153,0
Limbe District Hospital,Atenolol,2024-04-30,339,1029,0
Limbe District Hospital,Atenolol,2024-05-31,221,690,0
Limbe District Hospital,Atenolol,2024-06-30,305,469,0
Limbe District Hospital,Atenolol,2024-07-31,405,164,0
Limbe District Hospital,Atenolol,2024-08-31,229,0,1
Limbe District Hospital,Atenolol,2024-09-30,252,0,1
Limbe District Hospital,Atenolol,2024-10-31,304,604,0
Limbe District Hospital,Atenolol,2024-11-30,178,300,0
Limbe District Hospital,Atenolol,2024-12-31,221,122,0
Limbe District Hospital,Salbutamol,2023-01-31,234,2025,0
Limbe District Hospital,Salbutamol,2023-02-28,160,1791,0
Limbe District Hospital,Salbutamol,2023-03-31,328,1173,0
Limbe District Hospital,Salbutamol,2023-04-30,424,162,0
Limbe District Hospital,Salbutamol,2023-05-31,254,0,1
Limbe District Hospital,Salbutamol,2023-06-30,166,0,1
Limbe District Hospital,Salbutamol,2023-07-31,114,0,1
Limbe District Hospital,Salbutamol,2023-08-31,259,594,0
Limbe District Hospital,Salbutamol,2023-09-30,327,335,0
Limbe District Hospital,Salbutamol,2023-10-31,276,8,1
Limbe District Hospital,Salbutamol,2023-11-30,238,0,1
Limbe District Hospital,Salbutamol,2023-12-31,191,0,1
Limbe District Hospital,Salbutamol,2024-01-31,151,0,1
Limbe District Hospital,Salbutamol,2024-02-29,305,0,1
Limbe District Hospital,Salbutamol,2024-03-31,311,0,1
Limbe District Hospital,Salbutamol,2024-04-30,115,0,1
Limbe District Hospital,Salbutamol,2024-05-31,365,0,1
Limbe District Hospital,Salbutamol,2024-06-30,284,967,0
Limbe District Hospital,Salbutamol,2024-07-31,350,683,0
Limbe District Hospital,Salbutamol,2024-08-31,131,332,0
Limbe District Hospital,Salbutamol,2024-09-30,129,1231,0
Limbe District Hospital,Salbutamol,2024-10-31,226,1102,0
Limbe District Hospital,Salbutamol,2024-11-30,279,876,0
Limbe District Hospital,Salbutamol,2024-12-31,382,597,0
Limbe District Hospital,Ceftriaxone,2023-01-31,280,3106,0
Limbe District Hospital,Ceftriaxone,2023-02-28,225,2826,0
Limbe District Hospital,Ceftriaxone,2023-03-31,343,2601,0
Limbe District Hospital,Ceftriaxone,2023-04-30,244,2259,0
Limbe District Hospital,Ceftriaxone,2023-05-31,475,2015,0
Limbe District Hospital,Ceftriaxone,2023-06-30,397,1539,0
Limbe District Hospital,Ceftriaxone,2023-07-31,319,1142,0
Limbe District Hospital,Ceftriaxone,2023-08-31,384,823,0
Limbe District Hospital,Ceftriaxone,2023-09-30,391,439,0
Limbe District Hospital,Ceftriaxone,2023-10-31,257,0,1
Limbe District Hospital,Ceftriaxone,2023-11-30,237,0,1
Limbe District Hospital,Ceftriaxone,2023-12-31,308,0,1
Limbe District Hospital,Ceftriaxone,2024-01-31,371,0,1
Limbe District Hospital,Ceftriaxone,2024-02-29,313,171,0
Limbe District Hospital,Ceftriaxone,2024-03-31,176,853,0
Limbe District Hospital,Ceftriaxone,2024-04-30,238,677,0
Limbe District Hospital,Ceftriaxone,2024-05-31,296,439,0
Limbe District Hospital,Ceftriaxone,2024-06-30,296,0,1
Limbe District Hospital,Ceftriaxone,2024-07-31,460,702,0
Limbe District Hospital,Ceftriaxone,2024-08-31,191,0,1
Limbe District Hospital,Ceftriaxone,2024-09-30,343,0,1
Limbe District Hospital,Ceftriaxone,2024-10-31,421,0,1
Limbe District Hospital,Ceftriaxone,2024-11-30,484,0,1
Limbe District Hospital,Ceftriaxone,2024-12-31,270,0,1
Kumba District Hospital,Amoxicillin,2023-01-31,341,2363,0
Kumba District Hospital,Amoxicillin,2023-02-28,383,1687,0
Kumba District Hospital,Amoxicillin,2023-03-31,229,1305,0
Kumba District Hospital,Amoxicillin,2023-04-30,377,1076,0
Kumba District Hospital,Amoxicillin,2023-05-31,425,699,0
Kumba District Hospital,Amoxicillin,2023-06-30,491,274,0
Kumba District Hospital,Amoxicillin,2023-07-31,448,201,0
Kumba District Hospital,Amoxicillin,2023-08-31,381,0,1
Kumba District Hospital,Amoxicillin,2023-09-30,213,0,1
Kumba District Hospital,Amoxicillin,2023-10-31,347,540,0
Kumba District Hospital,Amoxicillin,2023-11-30,289,1260,0
Kumba District Hospital,Amoxicillin,2023-12-31,355,971,0
Kumba District Hospital,Amoxicillin,2024-01-31,239,616,0
Kumba District Hospital,Amoxicillin,2024-02-29,320,377,0
Kumba District Hospital,Amoxicillin,2024-03-31,295,57,0
Kumba District Hospital,Amoxicillin,2024-04-30,293,0,1
Kumba District Hospital,Amoxicillin,2024-05-31,293,311,0
Kumba District Hospital,Amoxicillin,2024-06-30,325,18,1
Kumba District Hospital,Amoxicillin,2024-07-31,359,0,1
Kumba District Hospital,Amoxicillin,2024-08-31,136,543,0
Kumba District Hospital,Amoxicillin,2024-09-30,146,406,0
Kumba District Hospital,Amoxicillin,2024-10-31,309,0,1
Kumba District Hospital,Amoxicillin,2024-11-30,321,645,0
Kumba District Hospital,Amoxicillin,2024-12-31,351,324,0
Kumba District Hospital,ACTs,2023-01-31,233,3193,0
Kumba District Hospital,ACTs,2023-02-28,151,2313,0
Kumba District Hospital,ACTs,2023-03-31,235,2163,0
Kumba District Hospital,ACTs,2023-04-30,348,1928,0
Kumba District Hospital,ACTs,2023-05-31,259,1580,0
Kumba District Hospital,ACTs,2023-06-30,190,1321,0
Kumba District Hospital,ACTs,2023-07-31,179,1131,0
Kumba District Hospital,ACTs,2023-08-31,165,952,0
Kumba District Hospital,ACTs,2023-09-30,288,787,0
Kumba District Hospital,ACTs,2023-10-31,143,499,0
Kumba District Hospital,ACTs,2023-11-30,197,355,0
